CODICE,DENOMINAZIONE,INDIRIZZO,COMUNE,COD_ISTAT,LON,LAT,LAT_LON,SR_GEO,QUOTA,OPERATORE,TIPO_IMPIANTO,STATO_IMPIANTO,FASE_RICHIESTA,TECNOLOGIE_UTILIZZATE
FL05,BERTINORO,"VIA MONTONE, SNC",BERTINORO,040003,12.1588626788,44.1624957655,12.1588626788 44.1624957655,4326                            ,36,TIM,STAZIONE RADIO BASE,NON ATTIVO,CONCLUSA,GSM900 - LTE800 - LTE1800 - LTE2600 - UMTS900 - UMTS2100
FO045,VIA CHIAVICHE ,"VIA SANT'ORSOLA, 6",CESENA,040007,12.279389,44.164016,12.279389 44.164016,4326                            ,"21,1",WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - LTE2100 - LTE2600 - UMTS900 - UMTS2100
FL74,CESENA VIA SAVIO ,"VIA CHIANCIANO,",CESENA,040007,12.208605,44.128015,12.208605 44.128015,4326                            ,44,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS2100
FC5227,MONTALETTO ,VIA CONFINE - LOCALITA` MONTALETTO DI CERVIA,CESENA,040007,12.327464,44.203737,12.327464 44.203737,4326                            ,4,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE1800 - UMTS2100
FO057,A14 MACERONE ,"VIA VANZIE, 881",CESENA,040007,12.322379,44.150447,12.322379 44.150447,4326                            ,16,WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS900 - UMTS2100
FO041,STADIO,VIA VENETO C/O RFI,CESENA,040007,12.264912,44.142259,12.264912 44.142259,4326                            ,29,WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - LTE2600 - UMTS900 - UMTS2100
FO3C,CESENA PISTOIA ,"VIA SAN MINIATO, 246",CESENA,040007,12.220631,44.135021,12.220631 44.135021,4326                            ,39,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS2100
FO99,VALVERDE ,"VIA BERNINI,17",CESENATICO,040008,12.423059,44.178949,12.423059 44.178949,4326                            ,"1,5",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - LTE2600 - UMTS2100
FO010,SAVIGNANO SUL RUBICONE ,"VIA DELLA REPUBBLICA, 42",SAVIGNANO SUL RUBICONE,040045,12.408222,44.097807,12.408222 44.097807,4326                            ,26,WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - LTE2600 - UMTS900 - UMTS2100
FO003,ENEL STADIO ,"VIA PIANCASTELLI, 4",FORLI' ,040012,12.060583,44.213274,12.060583 44.213274,4326                            ,25,WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - LTE2100 - LTE2600 - UMTS900 - UMTS2100
FO005,VIALE RISORGIMENTO ,"VIALE RISORGIMENTO, 250 - FORLI",FORLI' ,040012,12.032265,44.198303,12.032265 44.198303,4326                            ,39,WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - LTE2100 - LTE2600 - UMTS900 - UMTS2100
FL41,SAN ZENO,"VIA SAN ZENO, LOCALITA PODERE SALAMELLO",GALEATA,040014,11.8781577495,44.011104831,11.8781577495 44.011104831,4326                            ,"518,1",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - LTE1800 - UMTS900 - UMTS2100
FO021,MODIGLIANA,"VIA DELLA COSTA, 7 - MODIGLIANA",MODIGLIANA,040022,11.791669,44.163361,11.791669 44.163361,4326                            ,244,WIND3,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - GSM1800 - LTE800 - LTE1800 - UMTS900 - UMTS2100
FL65,PORTICO DI ROMAGNA ,"PODERE  BOTTAQUARA,14",PORTICO E SAN BENEDETTO,040031,11.766248,44.014171,11.766248 44.014171,4326                            ,471,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - UMTS900 - UMTS2100
FO14,SPORTILIA,STRADA VICINALE SPINELLO,SANTA SOFIA,040043,11.9892848356,43.9270877606,11.9892848356 43.9270877606,4326                            ,"913,5",TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - LTE800 - UMTS900 - UMTS2100
FL1C,CORNIOLO,STRADA COMUNALE CERRETO CERRETINO,SANTA SOFIA,040043,11.7957945125,43.9095109355,11.7957945125 43.9095109355,4326                            ,655,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,GSM900 - UMTS2100
MO95,MO LARGO SAN FRANCESCO PC,"VIA CANAL CHIARO,159",MODENA,036023,10.9213747669,44.6430430247,10.9213747669 44.6430430247,4326                            ,38,TIM,STAZIONE RADIO BASE,ATTIVO,ATTIVA,LTE2600 - UMTS2100
MO5942-A,PANZANO                                 ,"VIA MACMANI,2",CAMPOGALLIANO,036003,10.8456943179,44.7165339134,10.8456943179 44.7165339134,4326                            ,32,VODAFONE,STAZIONE RADIO BASE,ATTIVO,ATTIVA,
